"matrix2","leuven","w2v","clip","unverified_gpt_summer_no_mc","verified_gpt_summer_no_mc","human_triplet","gpt_triplet","gpt_embed_mds","flan_xl_mds","flan_xxl_mds","gpt_pairwise_mds"
"1","leuven","1","0.819217954090826","0.498176058798629","0.732086098530752","0.907636013880671","0.946689960158281","0.650432632076241","0.770313894616117","0.826878269045637","0.911873691643519","0.646647767947131"
"2","w2v","0.819217954090826","1","0.487138558070133","0.642068666907953","0.782122416777856","0.740896480455933","0.565669416326972","0.718722453161245","0.775801195164981","0.832591768018113","0.611189243560224"
"3","clip","0.498176058798629","0.487138558070133","1","0.496397383817945","0.501464420395801","0.43740361095994","0.45501062377892","0.589916435678199","0.433258426717338","0.48966629930457","0.604816577783635"
"4","unverified_gpt_summer_no_mc","0.732086098530752","0.642068666907953","0.496397383817945","1","0.685382926327927","0.636815992336449","0.477399921682256","0.718741723245991","0.622451314185467","0.68359213829987","0.598603751798802"
"5","verified_gpt_summer_no_mc","0.907636013880672","0.782122416777856","0.501464420395801","0.685382926327928","1","0.857504558136223","0.67252932169914","0.814409580047897","0.867238316224567","0.942735291782094","0.66642334048463"
"6","human_triplet","0.946689960158281","0.740896480455933","0.43740361095994","0.636815992336449","0.857504558136223","1","0.589747305565411","0.665806309231853","0.768274085409671","0.843168359404976","0.559554533558707"
"7","gpt_triplet","0.650432632076241","0.565669416326972","0.455010623778919","0.477399921682256","0.67252932169914","0.589747305565411","1","0.613608468311077","0.587945073911967","0.620837927262695","0.558622124308996"
"8","gpt_embed_mds","0.770313894616117","0.718722453161244","0.589916435678198","0.718741723245991","0.814409580047897","0.665806309231853","0.613608468311077","1","0.75157183698403","0.80098474656667","0.727736844453313"
"9","flan_xl_mds","0.826878269045637","0.775801195164982","0.433258426717338","0.622451314185466","0.867238316224567","0.768274085409671","0.587945073911967","0.75157183698403","1","0.872766424314722","0.614695338176686"
"10","flan_xxl_mds","0.911873691643519","0.832591768018113","0.48966629930457","0.68359213829987","0.942735291782094","0.843168359404976","0.620837927262695","0.80098474656667","0.872766424314722","1","0.68090952752419"
"11","gpt_pairwise_mds","0.646647767947131","0.611189243560224","0.604816577783635","0.598603751798802","0.66642334048463","0.559554533558707","0.558622124308996","0.727736844453313","0.614695338176686","0.68090952752419","1"
